model_id,model_name,threshold,precision,recall,f1,tp,fp,tn,fn
minilm,sentence-transformers/all-MiniLM-L6-v2,0.57,0.459,0.8116,0.5864,56,66,64,13
minilm,sentence-transformers/all-MiniLM-L6-v2,0.58,0.45,0.7826,0.5714,54,66,64,15
minilm,sentence-transformers/all-MiniLM-L6-v2,0.59,0.4538,0.7826,0.5745,54,65,65,15
minilm,sentence-transformers/all-MiniLM-L6-v2,0.6,0.4569,0.7681,0.573,53,63,67,16
minilm,sentence-transformers/all-MiniLM-L6-v2,0.61,0.4522,0.7536,0.5652,52,63,67,17
minilm,sentence-transformers/all-MiniLM-L6-v2,0.62,0.4602,0.7536,0.5714,52,61,69,17
minilm,sentence-transformers/all-MiniLM-L6-v2,0.63,0.4587,0.7246,0.5618,50,59,71,19
minilm,sentence-transformers/all-MiniLM-L6-v2,0.64,0.463,0.7246,0.565,50,58,72,19
minilm,sentence-transformers/all-MiniLM-L6-v2,0.65,0.4762,0.7246,0.5747,50,55,75,19
minilm,sentence-transformers/all-MiniLM-L6-v2,0.66,0.4706,0.6957,0.5614,48,54,76,21
minilm,sentence-transformers/all-MiniLM-L6-v2,0.67,0.4646,0.6667,0.5476,46,53,77,23
minilm,sentence-transformers/all-MiniLM-L6-v2,0.68,0.4792,0.6667,0.5576,46,50,80,23
minilm,sentence-transformers/all-MiniLM-L6-v2,0.69,0.4787,0.6522,0.5521,45,49,81,24
minilm,sentence-transformers/all-MiniLM-L6-v2,0.7,0.4891,0.6522,0.559,45,47,83,24
minilm,sentence-transformers/all-MiniLM-L6-v2,0.71,0.5,0.6087,0.549,42,42,88,27
minilm,sentence-transformers/all-MiniLM-L6-v2,0.72,0.506,0.6087,0.5526,42,41,89,27
minilm,sentence-transformers/all-MiniLM-L6-v2,0.73,0.5256,0.5942,0.5578,41,37,93,28
minilm,sentence-transformers/all-MiniLM-L6-v2,0.74,0.5,0.5362,0.5175,37,37,93,32
minilm,sentence-transformers/all-MiniLM-L6-v2,0.75,0.4928,0.4928,0.4928,34,35,95,35
minilm,sentence-transformers/all-MiniLM-L6-v2,0.76,0.4925,0.4783,0.4853,33,34,96,36
minilm,sentence-transformers/all-MiniLM-L6-v2,0.77,0.5077,0.4783,0.4925,33,32,98,36
minilm,sentence-transformers/all-MiniLM-L6-v2,0.78,0.5254,0.4493,0.4844,31,28,102,38
minilm,sentence-transformers/all-MiniLM-L6-v2,0.79,0.5455,0.4348,0.4839,30,25,105,39
minilm,sentence-transformers/all-MiniLM-L6-v2,0.8,0.5455,0.4348,0.4839,30,25,105,39
minilm,sentence-transformers/all-MiniLM-L6-v2,0.81,0.58,0.4203,0.4874,29,21,109,40
minilm,sentence-transformers/all-MiniLM-L6-v2,0.82,0.5745,0.3913,0.4655,27,20,110,42
minilm,sentence-transformers/all-MiniLM-L6-v2,0.83,0.5476,0.3333,0.4144,23,19,111,46
minilm,sentence-transformers/all-MiniLM-L6-v2,0.84,0.5789,0.3188,0.4112,22,16,114,47
minilm,sentence-transformers/all-MiniLM-L6-v2,0.85,0.5946,0.3188,0.4151,22,15,115,47
minilm,sentence-transformers/all-MiniLM-L6-v2,0.86,0.6061,0.2899,0.3922,20,13,117,49
minilm,sentence-transformers/all-MiniLM-L6-v2,0.87,0.5926,0.2319,0.3333,16,11,119,53
minilm,sentence-transformers/all-MiniLM-L6-v2,0.88,0.5417,0.1884,0.2796,13,11,119,56
minilm,sentence-transformers/all-MiniLM-L6-v2,0.89,0.5263,0.1449,0.2273,10,9,121,59
minilm,sentence-transformers/all-MiniLM-L6-v2,0.9,0.5,0.1014,0.1687,7,7,123,62
minilm,sentence-transformers/all-MiniLM-L6-v2,0.91,0.5833,0.1014,0.1728,7,5,125,62
minilm,sentence-transformers/all-MiniLM-L6-v2,0.92,0.5714,0.058,0.1053,4,3,127,65
minilm,sentence-transformers/all-MiniLM-L6-v2,0.93,0.5,0.029,0.0548,2,2,128,67
minilm,sentence-transformers/all-MiniLM-L6-v2,0.94,0.0,0.0,0.0,0,2,128,69
minilm,sentence-transformers/all-MiniLM-L6-v2,0.95,0.0,0.0,0.0,0,1,129,69
bge_small,BAAI/bge-small-en-v1.5,0.05,0.3467,1.0,0.5149,69,130,0,0
bge_small,BAAI/bge-small-en-v1.5,0.06,0.3467,1.0,0.5149,69,130,0,0
bge_small,BAAI/bge-small-en-v1.5,0.07,0.3467,1.0,0.5149,69,130,0,0
bge_small,BAAI/bge-small-en-v1.5,0.08,0.3467,1.0,0.5149,69,130,0,0
bge_small,BAAI/bge-small-en-v1.5,0.09,0.3467,1.0,0.5149,69,130,0,0
bge_small,BAAI/bge-small-en-v1.5,0.1,0.3467,1.0,0.5149,69,130,0,0
bge_small,BAAI/bge-small-en-v1.5,0.11,0.3467,1.0,0.5149,69,130,0,0
bge_small,BAAI/bge-small-en-v1.5,0.12,0.3467,1.0,0.5149,69,130,0,0
bge_small,BAAI/bge-small-en-v1.5,0.13,0.3467,1.0,0.5149,69,130,0,0
bge_small,BAAI/bge-small-en-v1.5,0.14,0.3467,1.0,0.5149,69,130,0,0
bge_small,BAAI/bge-small-en-v1.5,0.15,0.3467,1.0,0.5149,69,130,0,0
bge_small,BAAI/bge-small-en-v1.5,0.16,0.3485,1.0,0.5169,69,129,1,0
bge_small,BAAI/bge-small-en-v1.5,0.17,0.3485,1.0,0.5169,69,129,1,0
bge_small,BAAI/bge-small-en-v1.5,0.18,0.3503,1.0,0.5188,69,128,2,0
bge_small,BAAI/bge-small-en-v1.5,0.19,0.3503,1.0,0.5188,69,128,2,0
bge_small,BAAI/bge-small-en-v1.5,0.2,0.3503,1.0,0.5188,69,128,2,0
bge_small,BAAI/bge-small-en-v1.5,0.21,0.352,1.0,0.5208,69,127,3,0
bge_small,BAAI/bge-small-en-v1.5,0.22,0.3538,1.0,0.5227,69,126,4,0
bge_small,BAAI/bge-small-en-v1.5,0.23,0.3538,1.0,0.5227,69,126,4,0
bge_small,BAAI/bge-small-en-v1.5,0.24,0.3538,1.0,0.5227,69,126,4,0
bge_small,BAAI/bge-small-en-v1.5,0.25,0.3557,1.0,0.5247,69,125,5,0
bge_small,BAAI/bge-small-en-v1.5,0.26,0.3575,1.0,0.5267,69,124,6,0
bge_small,BAAI/bge-small-en-v1.5,0.27,0.3575,1.0,0.5267,69,124,6,0
bge_small,BAAI/bge-small-en-v1.5,0.28,0.3594,1.0,0.5287,69,123,7,0
bge_small,BAAI/bge-small-en-v1.5,0.29,0.3579,0.9855,0.5251,68,122,8,1
bge_small,BAAI/bge-small-en-v1.5,0.3,0.3598,0.9855,0.5271,68,121,9,1
bge_small,BAAI/bge-small-en-v1.5,0.31,0.3636,0.9855,0.5312,68,119,11,1
bge_small,BAAI/bge-small-en-v1.5,0.32,0.3696,0.9855,0.5375,68,116,14,1
bge_small,BAAI/bge-small-en-v1.5,0.33,0.3646,0.9565,0.528,66,115,15,3
bge_small,BAAI/bge-small-en-v1.5,0.34,0.3611,0.942,0.5221,65,115,15,4
bge_small,BAAI/bge-small-en-v1.5,0.35,0.3611,0.942,0.5221,65,115,15,4
bge_small,BAAI/bge-small-en-v1.5,0.36,0.3596,0.9275,0.5182,64,114,16,5
bge_small,BAAI/bge-small-en-v1.5,0.37,0.3678,0.9275,0.5267,64,110,20,5
bge_small,BAAI/bge-small-en-v1.5,0.38,0.3699,0.9275,0.5289,64,109,21,5
bge_small,BAAI/bge-small-en-v1.5,0.39,0.3684,0.913,0.525,63,108,22,6
bge_small,BAAI/bge-small-en-v1.5,0.4,0.3728,0.913,0.5294,63,106,24,6
bge_small,BAAI/bge-small-en-v1.5,0.41,0.3728,0.913,0.5294,63,106,24,6
bge_small,BAAI/bge-small-en-v1.5,0.42,0.375,0.913,0.5316,63,105,25,6
bge_small,BAAI/bge-small-en-v1.5,0.43,0.3758,0.8986,0.5299,62,103,27,7
bge_small,BAAI/bge-small-en-v1.5,0.44,0.3827,0.8986,0.5368,62,100,30,7
bge_small,BAAI/bge-small-en-v1.5,0.45,0.3851,0.8986,0.5391,62,99,31,7
bge_small,BAAI/bge-small-en-v1.5,0.46,0.3861,0.8841,0.5374,61,97,33,8
bge_small,BAAI/bge-small-en-v1.5,0.47,0.3782,0.8551,0.5244,59,97,33,10
bge_small,BAAI/bge-small-en-v1.5,0.48,0.3782,0.8551,0.5244,59,97,33,10
bge_small,BAAI/bge-small-en-v1.5,0.49,0.3933,0.8551,0.5388,59,91,39,10
bge_small,BAAI/bge-small-en-v1.5,0.5,0.3946,0.8406,0.537,58,89,41,11
bge_small,BAAI/bge-small-en-v1.5,0.51,0.3986,0.8261,0.5377,57,86,44,12
bge_small,BAAI/bge-small-en-v1.5,0.52,0.4074,0.7971,0.5392,55,80,50,14
bge_small,BAAI/bge-small-en-v1.5,0.53,0.406,0.7826,0.5347,54,79,51,15
bge_small,BAAI/bge-small-en-v1.5,0.54,0.4109,0.7681,0.5354,53,76,54,16
bge_small,BAAI/bge-small-en-v1.5,0.55,0.4173,0.7681,0.5408,53,74,56,16
bge_small,BAAI/bge-small-en-v1.5,0.56,0.424,0.7681,0.5464,53,72,58,16
bge_small,BAAI/bge-small-en-v1.5,0.57,0.4309,0.7681,0.5521,53,70,60,16
bge_small,BAAI/bge-small-en-v1.5,0.58,0.437,0.7536,0.5532,52,67,63,17
bge_small,BAAI/bge-small-en-v1.5,0.59,0.4359,0.7391,0.5484,51,66,64,18
bge_small,BAAI/bge-small-en-v1.5,0.6,0.4386,0.7246,0.5464,50,64,66,19
bge_small,BAAI/bge-small-en-v1.5,0.61,0.4495,0.7101,0.5506,49,60,70,20
bge_small,BAAI/bge-small-en-v1.5,0.62,0.4528,0.6957,0.5486,48,58,72,21
bge_small,BAAI/bge-small-en-v1.5,0.63,0.4476,0.6812,0.5402,47,58,72,22
bge_small,BAAI/bge-small-en-v1.5,0.64,0.4356,0.6377,0.5176,44,57,73,25
bge_small,BAAI/bge-small-en-v1.5,0.65,0.4375,0.6087,0.5091,42,54,76,27
bge_small,BAAI/bge-small-en-v1.5,0.66,0.4375,0.6087,0.5091,42,54,76,27
bge_small,BAAI/bge-small-en-v1.5,0.67,0.4444,0.5797,0.5031,40,50,80,29
bge_small,BAAI/bge-small-en-v1.5,0.68,0.4598,0.5797,0.5128,40,47,83,29
bge_small,BAAI/bge-small-en-v1.5,0.69,0.4634,0.5507,0.5033,38,44,86,31
bge_small,BAAI/bge-small-en-v1.5,0.7,0.4545,0.5072,0.4795,35,42,88,34
bge_small,BAAI/bge-small-en-v1.5,0.71,0.4658,0.4928,0.4789,34,39,91,35
bge_small,BAAI/bge-small-en-v1.5,0.72,0.4925,0.4783,0.4853,33,34,96,36
bge_small,BAAI/bge-small-en-v1.5,0.73,0.4923,0.4638,0.4776,32,33,97,37
bge_small,BAAI/bge-small-en-v1.5,0.74,0.4921,0.4493,0.4697,31,32,98,38
bge_small,BAAI/bge-small-en-v1.5,0.75,0.4833,0.4203,0.4496,29,31,99,40
bge_small,BAAI/bge-small-en-v1.5,0.76,0.4528,0.3478,0.3934,24,29,101,45
bge_small,BAAI/bge-small-en-v1.5,0.77,0.4694,0.3333,0.3898,23,26,104,46
bge_small,BAAI/bge-small-en-v1.5,0.78,0.5,0.2899,0.367,20,20,110,49
bge_small,BAAI/bge-small-en-v1.5,0.79,0.5263,0.2899,0.3738,20,18,112,49
bge_small,BAAI/bge-small-en-v1.5,0.8,0.5312,0.2464,0.3366,17,15,115,52
bge_small,BAAI/bge-small-en-v1.5,0.81,0.5161,0.2319,0.32,16,15,115,53
bge_small,BAAI/bge-small-en-v1.5,0.82,0.52,0.1884,0.2766,13,12,118,56
bge_small,BAAI/bge-small-en-v1.5,0.83,0.4783,0.1594,0.2391,11,12,118,58
bge_small,BAAI/bge-small-en-v1.5,0.84,0.5556,0.1449,0.2299,10,8,122,59
bge_small,BAAI/bge-small-en-v1.5,0.85,0.5714,0.1159,0.1928,8,6,124,61
bge_small,BAAI/bge-small-en-v1.5,0.86,0.5,0.0725,0.1266,5,5,125,64
bge_small,BAAI/bge-small-en-v1.5,0.87,0.5,0.0435,0.08,3,3,127,66
bge_small,BAAI/bge-small-en-v1.5,0.88,0.5,0.0435,0.08,3,3,127,66
bge_small,BAAI/bge-small-en-v1.5,0.89,0.6667,0.029,0.0556,2,1,129,67
bge_small,BAAI/bge-small-en-v1.5,0.9,1.0,0.029,0.0563,2,0,130,67
bge_small,BAAI/bge-small-en-v1.5,0.91,1.0,0.0145,0.0286,1,0,130,68
bge_small,BAAI/bge-small-en-v1.5,0.92,1.0,0.0145,0.0286,1,0,130,68
bge_small,BAAI/bge-small-en-v1.5,0.93,0.0,0.0,0.0,0,0,130,69
bge_small,BAAI/bge-small-en-v1.5,0.94,0.0,0.0,0.0,0,0,130,69
bge_small,BAAI/bge-small-en-v1.5,0.95,0.0,0.0,0.0,0,0,130,69
